slang,normalized
0,o
0n,on
2loy,tuloy
2luyan,tuluyan
2mama,tumama
2naw,tunaw
abutn,abutin
ah0n,ahon
alm,alam
anjan,andiyan
anq,ang
anu,ano
aq,ako
atlest,at least
awayn,awayin
b,ba
bbagyo,babagyo
bcos,because
bcoz,because
bgay,bagay
bgyo,bagyo
bgyong,bagyong
bhala,bahala
bhay,bahay
bk8,bakit
bka,baka
bkt,bakit
bqyo,bagyo
bta,bata
bwat,bawat
c,si
c0mplain,complain
c0ntr0l,control
cgro,siguro
cguro,siguro
cia,siya
cignal,signal
cla,sila
cmula,simula
cnabi,sinabi
cnic,sinisi
cntro,sentro
cya,siya
d,di
d2,dito
da,the
dahel,dahil
dahl,dahil
dba,diba
destructi0n,destruction
dhil,dahil
dn,din
dng,ding
dnt,dont
donot,do not
dpat,dapat
dretso,diretso
drtso,diretso
ds,this
dto,dito
dyn,diyan
dyos,diyos
engat,ingat
esave,isave
f0r,for
frm,from
gbi,gabi
ggwin,gagawin
ginagavi,ginagabi
gnabi,ginabi
gnagabi,ginagabi
gnagawa,ginagawa
gnawa,ginawa
gnyan,ganyan
gr8,great
gud,good
gumagawah,gumagawa
gvi,gabi
gwa,gawa
h0pe,hope
habng,habang
hangn,hangin
herap,hirap
hin2,hinto
hnd,hindi
hndi,hindi
hnggang,hanggang
hnggng,hanggang
hwag,huwag
i layo,ilayo
i2,ito
ibg,ibig
icp,isip
ingt,ingat
iniicp,iniisip
ipag dasal,ipagdasal
jan,diyan
jn,diyan
k,ka
kaba,ka ba
kailngan,kailangan
kakatpoz,kakatapos
kana,ka na
kania,kanya
kau,kayo
kawa2,kawawa
kb,ka ba
kbabayan,kababayan
kbbyan,kababayan
kc,kasi
kci,kasi
kelan,kailan
kelangan,kailangan
khit,kahit
kkilabot,kakakilabot
kla,kala
klaki,kalaki
kme,kami
kmi,kami
kmsta,kamusta
kn,ka na
kna,ka na
kng,kung
koh,ko
kp,ka pa
kphmakan,kapahamakan
ksma,kasama
ktabi,katabi
kun,kung
kya,kaya
la2ki,lalaki
lage,lagi
lanq,lang
lhat,lahat
lht,lahat
lng,lang
m,mo
m0rning,morning
ma2loy,matuloy
ma2naw,matunaw
maapek2han,maapektuhan
maapktuhan,maapektuhan
mageng,maging
magkakat0t0o,magkatotoo
magpasalamt,magpasalamat
maherap,mahirap
malasakt,malasakit
manaliq,manalig
mappnta,mapupunta
masktan,masaktan
matu2naw,matutunaw
mbahaan,mabahaan
mbahala,mabahala
mejo,medyo
mg,mag
mganda,maganda
mgbabaha,magbabaha
mggawa,magagawa
mggwa,magagawa
mghapon,maghapon
mgiingt,magiingat
mging,maging
mgingt,magingat
mgkar00n,magkaroon
mgkr0n,magkaroon
mglaho,mglaho
mglandfall,maglandfall
mglaro,maglaro
mgpakampante,magpakampante
mgpasalamat,magpasalamat
mgppkampante,magpapakampante
mgppsko,magpapasko
mgpray,magpray
mgsalita,magsalita
mgsi2datingan,magsisidatingan
mhal,mahal
mhangin,mahangin
mhirap,mahirap
mkakaya,makakaya
mkasalanan,makasalanan
mkitd,makitid
mkitid,makitid
mkpg,makapag
mla2gay,malalagay
mlagay,malagay
mlakas,malakas
mlaki,malaki
mlapit,malapit
mlmig,malamig
mlpit,malapit
mlusaw,malusaw
mlyo,malayo
mmukhang,mumukhang
mn,man
morng,morning
mphmak,mapahamak
mppkinggan,mapapakinggan
mrami,marami
mrnsn,maranasan
ms,mas
msaktan,masaktan
msama,masama
msira,masira
mskit,masakit
msktan,masaktan
msma,masama
msyado,masyado
msyadong,masyadong
mtitikman,matitikman
mtmaan,matamaan
mttgas,matitigas
mttmaan,matatamaan
mu,mo
mwalan,mawalan
mwla,mawala
my,may
n,na
n0body,nobody
n0rthern,northern
na2wa,natuwa
nabgyo,nabagyo
nagdul0t,nagdulot
naghi2ntay,naghihintay
nagppakita,nagpapakita
nah,na
naka2,nakaka
naka2ah0n,nakakaahon
naka2lito,nakakalito
nakkita,nakikita
naleto,nalito
nalng,nalang
namn,namin
nangya2ri,nangyayari
nappagod,napapagod
nd,hindi
nde,hindi
ndi,hindi
ne,ni
nea,niya
ngaalala,nagaalala
ngaun,ngayon
ngaung,ngayong
ngay0n,ngayon
ngdadasal,nagdadasal
ngddsal,nagdadasal
ngyari,nangyari
ngyn,ngayon
ngyri,nangyari
ngyun,ngayon
ngyyri,nangyayari
nio,niyo
nka2bangon,nakakabangon
nkakagets,nakakagets
nkakalungkot,nakakalungkot
nkakarecover,nakakarecover
nkkawa,nakakaawa
nkktkt,nakakatakot
nkraang,nakaraang
nku,nako
nl,nila
nla,nila
nlng,nalang
nman,naman
nmang,namang
nmen,namin
nmn,naman
nnaman,na naman
nnamn,na naman
nngailngn,nangangailangan
npapakinggan,napapakinggan
npkrming,napakaraming
nrin,na rin
nring,na ring
nsa,nasa
nsabi,nasabi
ntin,natin
ntn,natin
nttwa,natatawa
nwln,nawalan
nyan,niyan
nyo,niyo
p,pa
paanu,paano
paba2yaan,pababayaan
pangin0on,panginoon
paraw,pa raw
pask0,pasko
pba,pa ba
pbyaan,pabayaan
pde,pwede
pdin,pa din
pe0ple,people
pede,pwede
pg,pag
pguugali,paguugali
pinaki2nggan,pinakikinggan
pki,paki
pla,pala
plage,palagi
plagi,palagi
plng,pa lang
pls,please
plz,please
pmilya,pamilya
pmlya,pamilya
pnapnalangin,pinapanalangin
png,pang
pngssbi,pinagsasabi
poceblidad,posibilidad
poe,po
poh,po
ppbayaan,papabayaan
ppbyaan,papabayaan
pplapit,papalapit
pptak,papatak
pra,para
prin,pa rin
pring,pa ring
prn,pa rin
prng,parang
pro,pero
ptak,patak
pwd,pwede
pwdeng,pwedeng
pwdi,pwede
q,ko
qna,ka na
r,are
rep0rt,report
rgard,regard
s,sa
saamin,sa amin
sabagay,sa bagay
sainyo,sa inyo
salamt,salamat
samen,sa amin
samin,sa amin
sanah,sana
savi,sabi
sbay,sabay
sbi,sabi
sbihin,sabihin
sbuhay,sa buhay
sby,sabay
sgnal,signal
sguro,siguro
slmt,salamat
smahan,samahan
smen,sa amin
smin,sa amin
sming,sa aming
sna,sana
snasabi,sinasabi
snsabi,sinasabi
su2nod,susunod
svi,sabi
sya,siya
t0,to
tatma,tatama
tau,tayo
taung,tayong
teu,tayo
tga,taga
thanxs,thanks
thnks,thanks
tkot,takot
tlg,talaga
tlga,talaga
tluyan,tuluyan
tma,tama
tnx,thanks
tska,tsaka
ttgil,titigil
ttma,tatama
tulongan,tulungan
twla,tiwala
ty0,tayo
tym,time
tyo,tayo
tyong,tayong
uag,huwag
ult,ulit
ultin,ulitin
umaarw,umaaraw
un,yun
ung,yung
ur,your
walng,walang
wg,wag
wkas,wakas
