text,intent
Hi,greeting
How are you?,greeting
Is anyone there?,greeting
Hello,greeting
Good day,greeting
What's up,greeting
how are ya,greeting
heyy,greeting
whatsup,greeting
??? ??? ??,greeting
Hi po,greeting
Kumusta,greeting
Magandang araw po,greeting
"Uy, pwede magtanong",greeting
cya,goodbye
see you,goodbye
bye bye,goodbye
See you later,goodbye
Goodbye,goodbye
I am Leaving,goodbye
Bye,goodbye
Have a Good day,goodbye
talk to you later,goodbye
ttyl,goodbye
i got to go,goodbye
gtg,goodbye
Sige salamat po,goodbye
"Ok thank you po, aalis na ako",goodbye
Paalam na po,goodbye
name,name
your name,name
do you have a name,name
what are you called,name
what is your name,name
what should I call you,name
whats your name?,name
what are you,name
who are you,name
who is this,name
what am i chatting to,name
who am i taking to,name
what are you,name
Ano pangalan mo,name
Sino ka,name
Meron ka bang pangalan,name
timing of college,hours
what is college timing,hours
working days,hours
when are you guys open,hours
what are your hours,hours
hours of operation,hours
when is the college open,hours
college timing,hours
what about college timing,hours
is college open on saturday,hours
tell something about college timing,hours
what is the college  hours,hours
when should i come to college,hours
when should i attend college,hours
what is my college time,hours
college timing,hours
timing college,hours
Anong oras bukas ang opisina,hours
Hanggang kailan bukas ang school,hours
Kailan sarado ang office,hours
more info,number
contact info,number
how to contact college,number
college telephone number,number
college number,number
What is your contact no,number
Contact number?,number
how to call you,number
College phone no?,number
how can i contact you,number
Can i get your phone number,number
how can i call you,number
phone number,number
phone no,number
call,number
Anong contact number ng school,number
Paano ko kayo matatawagan,number
Meron bang number na pwede tawagan,number
list of courses,course
list of courses offered,course
list of courses offered in,course
what are the courses offered in your college?,course
courses?,course
courses offered,course
courses offered in (your univrsity(UNI) name),course
courses you offer,course
branches?,course
courses available at UNI?,course
branches available at your college?,course
what are the courses in UNI?,course
what are branches in UNI?,course
what are courses in UNI?,course
branches available in UNI?,course
can you tell me the courses available in UNI?,course
can you tell me the branches available in UNI?,course
computer engineering?,course
computer,course
Computer engineering?,course
it,course
IT,course
Information Technology,course
AI/Ml,course
Mechanical engineering,course
Chemical engineering,course
Civil engineering,course
Anong mga kurso meron,course
Anong course pwede kunin,course
Ano available na programs,course
information about fee,fees
information on fee,fees
tell me the fee,fees
college fee,fees
fee per semester,fees
what is the fee of each semester,fees
what is the fees of each year,fees
what is fee,fees
what is the fees,fees
how much is the fees,fees
fees for first year,fees
fees,fees
about the fees,fees
tell me something about the fees,fees
What is the fees of hostel,fees
how much is the fees,fees
hostel fees,fees
fees for AC room,fees
fees for non-AC room,fees
fees for Ac room for girls,fees
fees for non-Ac room for girls,fees
fees for Ac room for boys,fees
fees for non-Ac room for boys,fees
Magkano ang tuition,fees
Paano magbayad ng fees,fees
Saan magbayad ng tuition,fees
Pwede po bang installment ang bayad,fees
where is the college located,location
college is located at,location
where is college,location
where is college located,location
address of college,location
how to reach college,location
college location,location
college address,location
wheres the college,location
how can I reach college,location
whats is the college address,location
what is the address of college,location
address,location
location,location
Saan po ang NU Laguna,location
Ano address ng campus,location
Paano pumunta dun,location
hostel facility,hostel
hostel servive,hostel
hostel location,hostel
hostel address,hostel
hostel facilities,hostel
hostel fees,hostel
Does college provide hostel,hostel
Is there any hostel,hostel
Where is hostel,hostel
do you have hostel,hostel
do you guys have hostel,hostel
hostel,hostel
hostel capacity,hostel
what is the hostel fee,hostel
how to get in hostel,hostel
what is the hostel address,hostel
how far is hostel from college,hostel
hostel college distance,hostel
where is the hostel,hostel
how big is the hostel,hostel
distance between college and hostel,hostel
distance between hostel and college,hostel
May dorm ba,hostel
Meron bang tirahan sa campus,hostel
Paano mag-apply sa dorm,hostel
events organised,event
list of events,event
list of events organised in college,event
list of events conducted in college,event
What events are conducted in college,event
Are there any event held at college,event
Events?,event
functions,event
what are the events,event
tell me about events,event
what about events,event
Anong mga event ngayon,event
May activity ba this week,event
Kailan susunod na event,event
document to bring,document
documents needed for admision,document
documents needed at the time of admission,document
documents needed during admission,document
documents required for admision,document
documents required at the time of admission,document
documents required during admission,document
What document are required for admission,document
Which document to bring for admission,document
documents,document
what documents do i need,document
what documents do I need for admission,document
documents needed,document
Anong requirements kailangan,document
Saan kumuha ng TOR,document
Paano mag-request ng document,document
size of campus,floors
building size,floors
How many floors does college have,floors
floors in college,floors
floors in college,floors
how tall is UNI's College of Engineering college building,floors
floors,floors
Saang floor ang library,floors
Anong nasa second floor,floors
San po ang registrar,floors
Syllabus for IT,syllabus
what is the Information Technology syllabus,syllabus
syllabus,syllabus
timetable,syllabus
what is IT syllabus,syllabus
syllabus,syllabus
What is next lecture,syllabus
Saan makuha ang syllabus,syllabus
Meron bang syllabus online,syllabus
is there any library,library
library facility,library
library facilities,library
do you have library,library
does the college have library facility,library
college library,library
where can i get books,library
book facility,library
Where is library,library
Library,library
Library information,library
Library books information,library
Tell me about library,library
how many libraries,library
Anong oras bukas ang library,library
Paano mangutang ng libro,library
San po yung LRC,library
how is college infrastructure,infrastructure
infrastructure,infrastructure
college infrastructure,infrastructure
Anong facilities meron,infrastructure
May gym ba dito,infrastructure
food facilities,canteen
canteen facilities,canteen
canteen facility,canteen
is there any canteen,canteen
Is there a cafetaria in college,canteen
Does college have canteen,canteen
Where is canteen,canteen
where is cafetaria,canteen
canteen,canteen
Food,canteen
Cafetaria,canteen
Anong oras bukas ang canteen,canteen
Saan pwede kumain,canteen
food menu,menu
food in canteen,menu
Whats there on menu,menu
what is available in college canteen,menu
what foods can we get in college canteen,menu
food variety,menu
What is there to eat?,menu
Anong pagkain meron sa canteen,menu
May menu ba,menu
What is college placement,placement
Which companies visit in college,placement
What is average package,placement
companies visit,placement
package,placement
About placement,placement
placement,placement
recruitment,placement
companies,placement
May tulong ba sa paghahanap ng trabaho,placement
Paano mag-apply sa OJT,placement
Who is HOD,ithod
